Created on 05-18-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-09-21,ETHUSD,218.11,221.17,213.51,214.77,32587.23,7053969.61
2019-09-20,ETHUSD,220.78,222.01,211.55,218.11,33764.65,7336429.26
2019-09-19,ETHUSD,210.25,224.68,201.88,220.78,58435.33,12378438.39
2019-09-18,ETHUSD,207.83,217.42,207.83,210.25,45553.48,9706340.15
2019-09-17,ETHUSD,197.82,215.26,196.04,207.83,89452.01,18131442.8
2019-09-16,ETHUSD,189.54,199.54,188.4,197.82,48811.82,9495317.33
2019-09-15,ETHUSD,188.73,190.88,186.46,189.54,14365.35,2711689.24
2019-09-14,ETHUSD,181.3,189.21,180.17,188.73,14895.15,2737720.61
2019-09-13,ETHUSD,180.72,181.94,177.59,181.3,10565.87,1897665.78
2019-09-12,ETHUSD,178.33,182.7,176.45,180.72,8542.77,1528018.71
2019-09-11,ETHUSD,179.76,182.32,173.9,178.33,20571.1,3655122.28
2019-09-10,ETHUSD,180.57,184.59,176.38,179.76,12195.58,2199231.18
2019-09-09,ETHUSD,181.48,187.99,175.83,180.57,20240.85,3664120.47
2019-09-08,ETHUSD,178.3,184.48,176.36,181.48,18341.35,3321366.42
2019-09-07,ETHUSD,169.09,181.07,168.33,178.3,14787.78,2593865.02
2019-09-06,ETHUSD,174.62,178.65,165,169.09,23738.88,4107670.62
2019-09-05,ETHUSD,174.91,177.77,169.59,174.62,14054.54,2423901.72
2019-09-04,ETHUSD,178.91,180.28,173.35,174.91,19408.06,3439144.31
2019-09-03,ETHUSD,178.75,183.06,174.03,178.91,21869.68,3916654.25
2019-09-02,ETHUSD,171.27,181.93,170.45,178.75,14905.81,2625781.53
2019-09-01,ETHUSD,171.87,173.75,167.65,171.27,6806.08,1162162.7
2019-08-31,ETHUSD,168.33,174.83,165.9,171.87,6378.06,1078657.62
2019-08-30,ETHUSD,168.92,170.35,165.51,168.33,11519.66,1940777.79
2019-08-29,ETHUSD,172.83,173.76,163.62,168.92,35128.41,5915249.14
2019-08-28,ETHUSD,187.45,187.97,165.84,172.83,41961.67,7380282.6
2019-08-27,ETHUSD,188.38,188.95,184.5,187.45,16961.72,3165982.88
2019-08-26,ETHUSD,186.45,194.66,185.66,188.38,22285.75,4232514.86
2019-08-25,ETHUSD,191.06,192.63,182.98,186.45,12263.42,2289230.65
2019-08-24,ETHUSD,194.51,194.51,185.89,191.06,9114.07,1729636.67
2019-08-23,ETHUSD,190.81,197.6,188.72,194.51,39229.16,7556815.22
2019-08-22,ETHUSD,187.17,195.07,182.56,190.81,32391.36,6126122.45
2019-08-21,ETHUSD,196.41,197.03,180,187.17,30050.27,5624744.53
2019-08-20,ETHUSD,202.4,202.87,194.45,196.41,21897.3,4340328.64
2019-08-19,ETHUSD,194.72,203.68,192.85,202.4,41032.49,8176253.08
2019-08-18,ETHUSD,185.51,198,183.27,194.72,26562.94,5090700.28
2019-08-17,ETHUSD,185.27,186.83,182,185.51,19830.26,3657241.29
2019-08-16,ETHUSD,188.31,188.31,178,185.27,38098.93,6985711.84
2019-08-15,ETHUSD,186.12,189.91,173.35,188.31,88892.53,16248050.47
2019-08-14,ETHUSD,208.49,209.17,181.5,186.12,59453.51,11656904.14
